timestamp,station_id,station_name,latitude,longitude,elevation_m,T_clean,P_clean,RH_clean,T_obs,P_obs,RH_obs,T_dew,dew_point_spread,rh_supersat_excess,phys_violation_flag,phys_bounds_flag,phys_cospike_flag,temp_step_zscore,pres_step_zscore,rh_step_zscore,is_frozen_flag,temporal_anomaly_score,T_idw,P_idw,RH_idw,T_spatial_resid,P_spatial_resid,RH_spatial_resid,spatial_divergence_score,predicted_class,predicted_fault,fault_confidence,is_fault,fault_class,affected_channel,event_context,severity,T_imputed,P_imputed,RH_imputed,qc_flag
2023-05-28 23:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,24.67,1005.0,86.51,24.67,1005.0,86.51,22.26962611219812,2.40037388780188,0.0,0.0,0.0,0.0,1.0148876933146143,-0.44721359535331184,-0.36256178524841937,0.0,0.07257368068142656,28.607964876469836,1008.5529600386694,75.09860679704569,-3.9379648764698345,-3.5529600386694256,11.411393202954315,1.4053989705316223,0,NONE,0.9721528868143697,0,NONE,NONE,NORMAL,0.0,24.67,1005.0,86.51,FLAG_ORIGINAL_VALID
2023-05-29 00:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,24.6,1004.8,88.64,24.6,1004.8,88.64,22.600564255410223,1.9994357445897784,0.0,0.0,0.0,0.0,0.9798040588658017,-3.226211185774526e-09,1.4062503713359713,0.0,0.17842062257428304,28.159967352810522,1008.8676565299764,85.97759300811956,-3.5599673528105207,-4.067656529976489,2.662406991880445,0.4362372468550672,0,NONE,0.9789039305222583,0,NONE,NONE,NORMAL,0.0,24.6,1004.8,88.64,FLAG_ORIGINAL_VALID
2023-05-29 01:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,25.73,1004.77,82.85,25.73,1004.77,82.85,22.59739167877539,3.132608321224609,0.0,0.0,0.0,0.0,2.1412766478118495,2.2360679390878153,-2.2352643112257877,0.0,0.37518021826838144,28.88390534564319,1008.6289545411973,83.6585175499933,-3.1539053456431887,-3.858954541197363,-0.8085175499933115,0.45005930911895303,0,NONE,0.9777669197880446,0,NONE,NONE,NORMAL,0.0,25.73,1004.77,82.85,FLAG_ORIGINAL_VALID
2023-05-29 02:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,26.87,1004.73,77.48,26.87,1004.73,77.48,22.603519465063048,4.266480534936953,0.0,0.0,0.0,0.0,1.396252283995671,1.3490023670706404,-1.3548477460551078,0.0,0.11349202951025827,29.68666520266869,1008.9811425600336,71.78009104665686,-2.8166652026686876,-4.2511425600336,5.69990895334314,1.092963438451138,0,NONE,0.9785282974908084,0,NONE,NONE,NORMAL,0.0,26.87,1004.73,77.48,FLAG_ORIGINAL_VALID
2023-05-29 03:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,28.0,1004.7,72.5,28.0,1004.7,72.5,22.600251541019286,5.399748458980714,0.0,0.0,0.0,0.0,0.994413753142275,1.039168986769245,-0.8909849819206034,0.0,0.060115070935319426,30.095484338010536,1008.8606101428135,68.5248939202264,-2.095484338010536,-4.160610142813425,3.975106079773596,0.964486691247076,0,NONE,0.9821669567548964,0,NONE,NONE,NORMAL,0.0,28.0,1004.7,72.5,FLAG_ORIGINAL_VALID
2023-05-29 04:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,30.67,1004.13,49.78,30.67,1004.13,49.78,19.001993689361367,11.668006310638635,0.0,0.0,0.0,0.0,1.8203963586124268,-2.057212932817888,-2.0445874715468335,0.0,0.29764188282787307,31.497669304804155,1008.7248350225899,64.50856373494817,-0.8276693048041537,-4.594835022589905,-14.728563734948168,0.810020337980899,0,NONE,0.9874020765516142,0,NONE,NONE,NORMAL,0.0,30.67,1004.13,49.78,FLAG_ORIGINAL_VALID
2023-05-29 05:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,33.33,1003.57,34.08,33.33,1003.57,34.08,15.398954108073728,17.93104589192627,0.0,0.0,0.0,0.0,1.2634902289903291,-1.349122651263266,-0.8566668244699879,0.0,0.15269352354234222,31.72116798823784,1008.5102801879934,63.96547352307377,1.608832011762157,-4.94028018799338,-29.88547352307377,1.5373664930515676,0,NONE,0.9886516291819889,0,NONE,NONE,NORMAL,0.0,33.33,1003.57,34.08,FLAG_ORIGINAL_VALID
2023-05-29 06:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,36.0,1003.0,23.24,36.0,1003.0,23.24,11.798731795941407,24.201268204058593,0.0,0.0,0.0,0.0,1.0043288408482558,-1.012341832963001,0.009212699533258423,0.0,0.18350526877340434,32.72945438316795,1008.295725353397,60.63954657670415,3.2705456168320524,-5.295725353396961,-37.399546576704154,1.5958346275302215,0,NONE,0.9891533372023316,0,NONE,NONE,NORMAL,0.0,36.0,1003.0,23.24,FLAG_ORIGINAL_VALID
2023-05-29 07:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,36.5,1002.07,23.27,36.5,1002.07,23.27,12.235435492079299,24.264564507920703,0.0,0.0,0.0,0.0,-1.4436868722149083,-1.498293929710921,1.3188432601295776,0.0,0.2149743457684845,33.14521967901407,1007.8614819659657,60.384037228369344,3.354780320985931,-5.791481965965659,-37.11403722836934,1.5675812116255161,0,NONE,0.9891200089296485,0,NONE,NONE,NORMAL,0.0,36.5,1002.07,23.27,FLAG_ORIGINAL_VALID
2023-05-29 08:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,37.0,1001.13,23.29,37.0,1001.13,23.29,12.665568498965516,24.334431501034484,0.0,0.0,0.0,0.0,-1.1875929679440511,-1.1201354054896535,1.087632681507396,0.0,0.13315716424941482,33.561027124680336,1007.0272789923898,58.79412971456261,3.4389728753196636,-5.897278992389829,-35.50412971456261,1.4947092862649498,0,NONE,0.9891573744326684,0,NONE,NONE,NORMAL,0.0,37.0,1001.13,23.29,FLAG_ORIGINAL_VALID
