"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42260099999","2025-02-17T10:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","350,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0290,1","+0160,1","99999,9",,,,,,,"02,1,+02743,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02743,1,99,9,99,9",,"10140,1,99999,9",,,"MET057METAR VIAG 171030Z 35006KT 6000 FEW090 29/16 Q1014 NOSIG=",
"42260099999","2025-02-19T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","000500,1,9,9","+0176,1","+0136,1","10153,1","24,0000,9,1","4,1,02,1","0,1,02,1",,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,N,+0116,1",,"9,9,999,9,-005,1","44,1","SYN08642260 21993 29902 10176 20136 40153 74440 80001 333 20116 59005 6990/ 555 00000 10020=","Q01  00002PRCP24Q02    003SCCGA1"
"42260099999","2025-02-19T08:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","230,1,N,0031,1","07620,1,C,N","006000,1,9,9","+0280,1","+0150,1","99999,9",,,,,,,"04,1,+03048,1,99,9","04,1,+07620,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,03048,1,99,9,99,9",,"10120,1,99999,9",,,"MET064METAR VIAG 190830Z 23006KT 6000 SCT100 SCT250 28/15 Q1012 NOSIG=",
"42260099999","2025-02-19T11:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","220,1,N,0015,1","03048,1,9,N","006000,1,9,9","+0270,1","+0170,1","99999,9",,,,,,,"02,1,+00914,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9",,"10100,1,99999,9",,,"MET064METAR VIAG 191130Z 22003KT 6000 FEW030 BKN100 27/17 Q1010 NOSIG=",
"42260099999","2025-02-19T13:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","999,9,V,0005,1","03048,1,9,N","006000,1,9,9","+0220,1","+0180,1","99999,9",,,,,,,"02,1,+00914,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9",,"10110,1,99999,9",,,"MET064METAR VIAG 191330Z VRB01KT 6000 FEW030 BKN100 22/18 Q1011 NOSIG=",
"42260099999","2025-03-13T03:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","310,1,N,0031,1","03048,1,C,N","002500,1,9,9","+0250,1","+0210,1","99999,9",,,,,,,"02,1,+00914,1,99,9","04,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9",,"10100,1,99999,9",,"10,1","MET071METAR VIAG 130330Z 31006KT 2500 BR FEW030 SCT100 25/21 Q1010 TEMPO -RA=",
"42260099999","2025-03-13T04:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","320,1,N,0031,1","03048,1,9,N","002800,1,9,9","+0280,1","+0210,1","99999,9",,,,,,,"02,1,+00914,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9",,"10100,1,99999,9",,"05,1","MET071METAR VIAG 130400Z 32006KT 2800 HZ FEW030 BKN100 28/21 Q1010 TEMPO -RA=",
"42260099999","2025-04-26T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","290,1,N,0062,1","99999,9,9,N","002000,1,9,9","+0386,1","+0139,1","10015,1",,"2,1,02,1","2,1,02,1",,,,"01,1,+00800,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,01,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,+007,1","07,1","SYN06442260 31595 62912 10386 20139 40015 70722 81930 333 10432 58007=",
"42260099999","2025-04-27T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","340,1,N,0026,1","22000,1,9,N","004000,1,9,9","+0393,1","+0147,1","10024,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0420,1",,"9,9,999,9,+011,1",,"SYN05842260 32996 33405 10393 20147 40024 80001 333 10420 58011=","Q01    003SCCGA1"
"42260099999","2025-04-28T09:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","090,1,N,0026,1","99999,9,9,N","004000,1,9,9","+0411,1","+0173,1","10013,1",,,,,,,,,,,,,,"9,9,999,9,-022,1",,"SYN04642260 32996 00905 10411 20173 40013 333 59022=",
